perfis,grauSatisfacao,observacao,versao,dataHora,municipio
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE""]",SATISFEITO,como sugestão sera ideal um filtro para pesquisar os indivíduos vinculados a equipe e também por ACS.,5.0.0,12-05-2022 10:53:53,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""UNIFICAÇAO"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INSATISFEITO,Ao abrir prontuário de crianças para acompanhamento em puericultura o mesmo some e não é possível o registro do atendimento.,5.0.0,12-05-2022 10:58:13,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INSATISFEITO,inserção do sigtap,5.0.0,12-05-2022 11:01:32,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",SATISFEITO,SATISFEITO,5.0.0,12-05-2022 11:01:47,DOURADOS/MS
"[""CIRURGIÃO DENTISTA""]",MUITO_INSATISFEITO,muito complicado todas ruins,5.0.0,12-05-2022 11:02:08,DOURADOS/MS
"[""RECEPÇÃO""]",INSATISFEITO,nao estamos conseguindo atualizar pec/cadsus,5.0.0,12-05-2022 11:04:19,DOURADOS/MS
"[""AUXILIAR OU TÉCNICO DE ENFERMAGEM"",""ESCUTA INICIAL"",""AUXILIAR OU TÉCNICO DE ENFERMAGEM DOURADOS""]",MUITO_INSATISFEITO,MUITA INFORMAÇÃO NA TELA SOAP,5.0.0,12-05-2022 11:04:21,DOURADOS/MS
"[""CIRURGIÃO DENTISTA"",""ESCUTA INICIAL""]",INSATISFEITO,"NÃO GOSTEI DA VERSÃO NOVA DO PROGRAMA. ESTÁ MUITO POLUÍDA VISUALMENTE, MAIS DIFÍCIL DE PREENCHER E ACHAR ONDE INSERIR OS PROCEDIMENTOS, TELA TREME ALGUMAS VEZES E EM ALGUNS PACIENTES, APÓS A ESCUTA INICIAL, NÃO CONSEGUIMOS PROSSEGUIR O ATENDIMENTO POIS NÃO ABRE O PRONTUÁRIO E  NÃO FINALIZA O ATENDIMENTO.",5.0.0,12-05-2022 11:09:01,DOURADOS/MS
"[""DIGITADOR"",""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",INSATISFEITO,não mostra onde está preenchido incorretamente. tem a opção atendimento compartilhado porém não contabiliza para os dois profissionais. é melhor tirar .,5.0.0,12-05-2022 11:10:11,null
"[""MÉDICO"",""ESCUTA INICIAL""]",SATISFEITO,"local que tem 2 pequenos quadrados para imprimir varias cópias muito pequeno, dificulta para ler rapido.",5.0.0,12-05-2022 11:11:11,DOURADOS/MS
"[""GERENTE DE UNIDADE DE SAÚDE"",""ENFERMEIRO"",""ESCUTA INICIAL""]",SATISFEITO,"a tela de exames, poderia ser mais funcional. menos clics e mais objetiva. o formato anterior era melhor, esse ficou muito poluído a tela.",5.0.0,12-05-2022 11:12:15,DOURADOS/MS
